	subject	activity	measure	value
3229	19	WALKING_UPSTAIRS	tBodyAccJerkMag-mean()	-0.114189606
3230	20	WALKING_UPSTAIRS	tBodyAccJerkMag-mean()	-0.255611242
3231	21	WALKING_UPSTAIRS	tBodyAccJerkMag-mean()	-0.355047694
3232	22	WALKING_UPSTAIRS	tBodyAccJerkMag-mean()	-0.095784034
3233	23	WALKING_UPSTAIRS	tBodyAccJerkMag-mean()	-0.311143885
3234	24	WALKING_UPSTAIRS	tBodyAccJerkMag-mean()	-0.488487621
3235	25	WALKING_UPSTAIRS	tBodyAccJerkMag-mean()	-0.679160844
3236	26	WALKING_UPSTAIRS	tBodyAccJerkMag-mean()	-0.404463896
3237	27	WALKING_UPSTAIRS	tBodyAccJerkMag-mean()	-0.479067422
3238	28	WALKING_UPSTAIRS	tBodyAccJerkMag-mean()	-0.388086248
3239	29	WALKING_UPSTAIRS	tBodyAccJerkMag-mean()	-0.344324833
3240	30	WALKING_UPSTAIRS	tBodyAccJerkMag-mean()	-0.5966001
3241	1	LAYING	tBodyGyroMag-mean()	-0.874759548
3242	2	LAYING	tBodyGyroMag-mean()	-0.95001157
3243	3	LAYING	tBodyGyroMag-mean()	-0.951564751
3244	4	LAYING	tBodyGyroMag-mean()	-0.930236463
3245	5	LAYING	tBodyGyroMag-mean()	-0.946938301
3246	6	LAYING	tBodyGyroMag-mean()	-0.908980175
3247	7	LAYING	tBodyGyroMag-mean()	-0.915793635
3248	8	LAYING	tBodyGyroMag-mean()	-0.924253349
3249	9	LAYING	tBodyGyroMag-mean()	-0.9071251
3250	10	LAYING	tBodyGyroMag-mean()	-0.937590999
3251	11	LAYING	tBodyGyroMag-mean()	-0.952523752
3252	12	LAYING	tBodyGyroMag-mean()	-0.930840594
3253	13	LAYING	tBodyGyroMag-mean()	-0.944303112
3254	14	LAYING	tBodyGyroMag-mean()	-0.904665418
3255	15	LAYING	tBodyGyroMag-mean()	-0.944605127
3256	16	LAYING	tBodyGyroMag-mean()	-0.9517771
3257	17	LAYING	tBodyGyroMag-mean()	-0.960733122
3258	18	LAYING	tBodyGyroMag-mean()	-0.980740847
3259	19	LAYING	tBodyGyroMag-mean()	-0.953263433
3260	20	LAYING	tBodyGyroMag-mean()	-0.960447373
3261	21	LAYING	tBodyGyroMag-mean()	-0.94927889
3262	22	LAYING	tBodyGyroMag-mean()	-0.926616373
3263	23	LAYING	tBodyGyroMag-mean()	-0.949418001
3264	24	LAYING	tBodyGyroMag-mean()	-0.953791513
3265	25	LAYING	tBodyGyroMag-mean()	-0.809688545
3266	26	LAYING	tBodyGyroMag-mean()	-0.951863595
3267	27	LAYING	tBodyGyroMag-mean()	-0.966917594
3268	28	LAYING	tBodyGyroMag-mean()	-0.937106921
3269	29	LAYING	tBodyGyroMag-mean()	-0.971923623
3270	30	LAYING	tBodyGyroMag-mean()	-0.962284921
3271	1	SITTING	tBodyGyroMag-mean()	-0.93089249
3272	2	SITTING	tBodyGyroMag-mean()	-0.946035087
3273	3	SITTING	tBodyGyroMag-mean()	-0.919354372
3274	4	SITTING	tBodyGyroMag-mean()	-0.926063314
3275	5	SITTING	tBodyGyroMag-mean()	-0.934301647
3276	6	SITTING	tBodyGyroMag-mean()	-0.932703812
3277	7	SITTING	tBodyGyroMag-mean()	-0.897870535
3278	8	SITTING	tBodyGyroMag-mean()	-0.932682243
3279	9	SITTING	tBodyGyroMag-mean()	-0.903235537
3280	10	SITTING	tBodyGyroMag-mean()	-0.944202044
3281	11	SITTING	tBodyGyroMag-mean()	-0.951884472
3282	12	SITTING	tBodyGyroMag-mean()	-0.941907241
3283	13	SITTING	tBodyGyroMag-mean()	-0.951142644
3284	14	SITTING	tBodyGyroMag-mean()	-0.942756369
3285	15	SITTING	tBodyGyroMag-mean()	-0.957331628
3286	16	SITTING	tBodyGyroMag-mean()	-0.946417382
3287	17	SITTING	tBodyGyroMag-mean()	-0.967177744
3288	18	SITTING	tBodyGyroMag-mean()	-0.977634992
3289	19	SITTING	tBodyGyroMag-mean()	-0.942229044
3290	20	SITTING	tBodyGyroMag-mean()	-0.939574436
3291	21	SITTING	tBodyGyroMag-mean()	-0.964971114
3292	22	SITTING	tBodyGyroMag-mean()	-0.942077433
3293	23	SITTING	tBodyGyroMag-mean()	-0.936593427
3294	24	SITTING	tBodyGyroMag-mean()	-0.964633252
3295	25	SITTING	tBodyGyroMag-mean()	-0.966568719
3296	26	SITTING	tBodyGyroMag-mean()	-0.954052946
3297	27	SITTING	tBodyGyroMag-mean()	-0.963565474
3298	28	SITTING	tBodyGyroMag-mean()	-0.955175567
3299	29	SITTING	tBodyGyroMag-mean()	-0.962377332
3300	30	SITTING	tBodyGyroMag-mean()	-0.955847324
3301	1	STANDING	tBodyGyroMag-mean()	-0.976493793
3302	2	STANDING	tBodyGyroMag-mean()	-0.963466342
3303	3	STANDING	tBodyGyroMag-mean()	-0.892089349
3304	4	STANDING	tBodyGyroMag-mean()	-0.900982101
3305	5	STANDING	tBodyGyroMag-mean()	-0.900671631
3306	6	STANDING	tBodyGyroMag-mean()	-0.939404744
3307	7	STANDING	tBodyGyroMag-mean()	-0.943425565
3308	8	STANDING	tBodyGyroMag-mean()	-0.952848497
3309	9	STANDING	tBodyGyroMag-mean()	-0.921030223
3310	10	STANDING	tBodyGyroMag-mean()	-0.92978726
3311	11	STANDING	tBodyGyroMag-mean()	-0.979978011
3312	12	STANDING	tBodyGyroMag-mean()	-0.888101373
3313	13	STANDING	tBodyGyroMag-mean()	-0.957825372
3314	14	STANDING	tBodyGyroMag-mean()	-0.943530017
3315	15	STANDING	tBodyGyroMag-mean()	-0.946961381
3316	16	STANDING	tBodyGyroMag-mean()	-0.972528178
3317	17	STANDING	tBodyGyroMag-mean()	-0.978184577
3318	18	STANDING	tBodyGyroMag-mean()	-0.963006793
3319	19	STANDING	tBodyGyroMag-mean()	-0.941745041
3320	20	STANDING	tBodyGyroMag-mean()	-0.883675029
3321	21	STANDING	tBodyGyroMag-mean()	-0.949837152
3322	22	STANDING	tBodyGyroMag-mean()	-0.931624304
3323	23	STANDING	tBodyGyroMag-mean()	-0.938430293
3324	24	STANDING	tBodyGyroMag-mean()	-0.954518594
3325	25	STANDING	tBodyGyroMag-mean()	-0.967077443
3326	26	STANDING	tBodyGyroMag-mean()	-0.968673956
3327	27	STANDING	tBodyGyroMag-mean()	-0.968702957
3328	28	STANDING	tBodyGyroMag-mean()	-0.89424247
3329	29	STANDING	tBodyGyroMag-mean()	-0.98065734
3330	30	STANDING	tBodyGyroMag-mean()	-0.913890565
3331	1	WALKING	tBodyGyroMag-mean()	-0.160979553
3332	2	WALKING	tBodyGyroMag-mean()	-0.446549093
3333	3	WALKING	tBodyGyroMag-mean()	-0.466411754
3334	4	WALKING	tBodyGyroMag-mean()	-0.497792201
3335	5	WALKING	tBodyGyroMag-mean()	-0.355933084
3336	6	WALKING	tBodyGyroMag-mean()	-0.281207841
3337	7	WALKING	tBodyGyroMag-mean()	-0.305959351
3338	8	WALKING	tBodyGyroMag-mean()	-0.003102438
3339	9	WALKING	tBodyGyroMag-mean()	-0.294542267
3340	10	WALKING	tBodyGyroMag-mean()	-0.15645873
3341	11	WALKING	tBodyGyroMag-mean()	-0.421801674
3342	12	WALKING	tBodyGyroMag-mean()	-0.355930365
3343	13	WALKING	tBodyGyroMag-mean()	-0.218669558
3344	14	WALKING	tBodyGyroMag-mean()	-0.137208742
3345	15	WALKING	tBodyGyroMag-mean()	-0.243711124
3346	16	WALKING	tBodyGyroMag-mean()	-0.485931933
3347	17	WALKING	tBodyGyroMag-mean()	-0.335009837
3348	18	WALKING	tBodyGyroMag-mean()	-0.500471148
3349	19	WALKING	tBodyGyroMag-mean()	0.100045071
3350	20	WALKING	tBodyGyroMag-mean()	0.068627515
3351	21	WALKING	tBodyGyroMag-mean()	-0.284775645
3352	22	WALKING	tBodyGyroMag-mean()	-0.210608044
3353	23	WALKING	tBodyGyroMag-mean()	-0.012096826
3354	24	WALKING	tBodyGyroMag-mean()	-0.403064157
3355	25	WALKING	tBodyGyroMag-mean()	-0.394362401
3356	26	WALKING	tBodyGyroMag-mean()	-0.392092024
3357	27	WALKING	tBodyGyroMag-mean()	-0.396638754
3358	28	WALKING	tBodyGyroMag-mean()	-0.310775946
3359	29	WALKING	tBodyGyroMag-mean()	-0.280573268
3360	30	WALKING	tBodyGyroMag-mean()	-0.02296408
3361	1	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	-0.075741254
3362	2	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	-0.162188587
3363	3	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	-0.215294501
3364	4	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	-0.346606293
3365	5	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	-0.218029835
3366	6	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	0.014267782
3367	7	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	-0.188740819
3368	8	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	0.099342974
3369	9	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	-0.168921401
3370	10	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	-0.023846804
3371	11	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	-0.19788336
3372	12	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	-0.213351511
3373	13	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	-0.102114481
3374	14	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	0.166340012
3375	15	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	-0.121686321
3376	16	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	-0.309820427
3377	17	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	-0.232641763
3378	18	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	-0.381022815
3379	19	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	0.418004609
3380	20	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	0.093841944
3381	21	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	-0.18485002
3382	22	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	-0.16133331
3383	23	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	0.039091548
3384	24	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	-0.304965806
3385	25	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	-0.216082566
3386	26	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	-0.235314623
3387	27	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	-0.164783207
3388	28	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	-0.068246324
3389	29	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	-0.122968109
3390	30	WALKING_DOWNSTAIRS	tBodyGyroMag-mean()	-0.095537321
3391	1	WALKING_UPSTAIRS	tBodyGyroMag-mean()	-0.12673559
3392	2	WALKING_UPSTAIRS	tBodyGyroMag-mean()	-0.219713473
3393	3	WALKING_UPSTAIRS	tBodyGyroMag-mean()	-0.347321812
3394	4	WALKING_UPSTAIRS	tBodyGyroMag-mean()	-0.299779408
3395	5	WALKING_UPSTAIRS	tBodyGyroMag-mean()	-0.235516929
3396	6	WALKING_UPSTAIRS	tBodyGyroMag-mean()	-0.129121244
3397	7	WALKING_UPSTAIRS	tBodyGyroMag-mean()	-0.239099166
3398	8	WALKING_UPSTAIRS	tBodyGyroMag-mean()	0.166447991
3399	9	WALKING_UPSTAIRS	tBodyGyroMag-mean()	-0.083323449
3400	10	WALKING_UPSTAIRS	tBodyGyroMag-mean()	0.043857385
3401	11	WALKING_UPSTAIRS	tBodyGyroMag-mean()	-0.255048337
3402	12	WALKING_UPSTAIRS	tBodyGyroMag-mean()	-0.316561586
3403	13	WALKING_UPSTAIRS	tBodyGyroMag-mean()	-0.237182958
3404	14	WALKING_UPSTAIRS	tBodyGyroMag-mean()	0.365779419
3405	15	WALKING_UPSTAIRS	tBodyGyroMag-mean()	-0.201217274
3406	16	WALKING_UPSTAIRS	tBodyGyroMag-mean()	-0.308260568
3407	17	WALKING_UPSTAIRS	tBodyGyroMag-mean()	-0.235191249
3408	18	WALKING_UPSTAIRS	tBodyGyroMag-mean()	-0.3691086
3409	19	WALKING_UPSTAIRS	tBodyGyroMag-mean()	-0.061615771
3410	20	WALKING_UPSTAIRS	tBodyGyroMag-mean()	0.022330254
3411	21	WALKING_UPSTAIRS	tBodyGyroMag-mean()	-0.168982721
3412	22	WALKING_UPSTAIRS	tBodyGyroMag-mean()	-0.128031924
3413	23	WALKING_UPSTAIRS	tBodyGyroMag-mean()	-0.156527149
3414	24	WALKING_UPSTAIRS	tBodyGyroMag-mean()	-0.33443584
3415	25	WALKING_UPSTAIRS	tBodyGyroMag-mean()	-0.3186347
3416	26	WALKING_UPSTAIRS	tBodyGyroMag-mean()	-0.344427048
3417	27	WALKING_UPSTAIRS	tBodyGyroMag-mean()	-0.28614572
3418	28	WALKING_UPSTAIRS	tBodyGyroMag-mean()	-0.263415283
3419	29	WALKING_UPSTAIRS	tBodyGyroMag-mean()	0.043962768
3420	30	WALKING_UPSTAIRS	tBodyGyroMag-mean()	-0.113608367
3421	1	LAYING	tBodyGyroJerkMag-mean()	-0.96346103
3422	2	LAYING	tBodyGyroJerkMag-mean()	-0.991767074
3423	3	LAYING	tBodyGyroJerkMag-mean()	-0.986713625
3424	4	LAYING	tBodyGyroJerkMag-mean()	-0.985068502
3425	5	LAYING	tBodyGyroJerkMag-mean()	-0.986419423
3426	6	LAYING	tBodyGyroJerkMag-mean()	-0.955645738
3427	7	LAYING	tBodyGyroJerkMag-mean()	-0.983008829
3428	8	LAYING	tBodyGyroJerkMag-mean()	-0.978438191
3429	9	LAYING	tBodyGyroJerkMag-mean()	-0.964524819
3430	10	LAYING	tBodyGyroJerkMag-mean()	-0.970830849
3431	11	LAYING	tBodyGyroJerkMag-mean()	-0.990641248
3432	12	LAYING	tBodyGyroJerkMag-mean()	-0.971067769
3433	13	LAYING	tBodyGyroJerkMag-mean()	-0.985446265
3434	14	LAYING	tBodyGyroJerkMag-mean()	-0.975621183
3435	15	LAYING	tBodyGyroJerkMag-mean()	-0.983235025
3436	16	LAYING	tBodyGyroJerkMag-mean()	-0.990839526
3437	17	LAYING	tBodyGyroJerkMag-mean()	-0.985542411
3438	18	LAYING	tBodyGyroJerkMag-mean()	-0.993095123
3439	19	LAYING	tBodyGyroJerkMag-mean()	-0.985342498
3440	20	LAYING	tBodyGyroJerkMag-mean()	-0.986749501
3441	21	LAYING	tBodyGyroJerkMag-mean()	-0.985915907
3442	22	LAYING	tBodyGyroJerkMag-mean()	-0.981716936
3443	23	LAYING	tBodyGyroJerkMag-mean()	-0.984557479
3444	24	LAYING	tBodyGyroJerkMag-mean()	-0.982780874
3445	25	LAYING	tBodyGyroJerkMag-mean()	-0.969783262
3446	26	LAYING	tBodyGyroJerkMag-mean()	-0.99219798
3447	27	LAYING	tBodyGyroJerkMag-mean()	-0.994355044
3448	28	LAYING	tBodyGyroJerkMag-mean()	-0.978220271
3449	29	LAYING	tBodyGyroJerkMag-mean()	-0.997322527
3450	30	LAYING	tBodyGyroJerkMag-mean()	-0.985086413
3451	1	SITTING	tBodyGyroJerkMag-mean()	-0.991976341
3452	2	SITTING	tBodyGyroJerkMag-mean()	-0.991081494
3453	3	SITTING	tBodyGyroJerkMag-mean()	-0.977998052
3454	4	SITTING	tBodyGyroJerkMag-mean()	-0.980490462
3455	5	SITTING	tBodyGyroJerkMag-mean()	-0.973848287
3456	6	SITTING	tBodyGyroJerkMag-mean()	-0.962929228
3457	7	SITTING	tBodyGyroJerkMag-mean()	-0.981665122
3458	8	SITTING	tBodyGyroJerkMag-mean()	-0.991807428
3459	9	SITTING	tBodyGyroJerkMag-mean()	-0.973364137
3460	10	SITTING	tBodyGyroJerkMag-mean()	-0.993707488
3461	11	SITTING	tBodyGyroJerkMag-mean()	-0.989519031
3462	12	SITTING	tBodyGyroJerkMag-mean()	-0.980392338
3463	13	SITTING	tBodyGyroJerkMag-mean()	-0.992604304
3464	14	SITTING	tBodyGyroJerkMag-mean()	-0.988317607
3465	15	SITTING	tBodyGyroJerkMag-mean()	-0.992188894
3466	16	SITTING	tBodyGyroJerkMag-mean()	-0.992444606
3467	17	SITTING	tBodyGyroJerkMag-mean()	-0.996334795
3468	18	SITTING	tBodyGyroJerkMag-mean()	-0.99487344
3469	19	SITTING	tBodyGyroJerkMag-mean()	-0.989450317
3470	20	SITTING	tBodyGyroJerkMag-mean()	-0.983010276
3471	21	SITTING	tBodyGyroJerkMag-mean()	-0.99030735
3472	22	SITTING	tBodyGyroJerkMag-mean()	-0.985476035
3473	23	SITTING	tBodyGyroJerkMag-mean()	-0.986514066
3474	24	SITTING	tBodyGyroJerkMag-mean()	-0.991306425
3475	25	SITTING	tBodyGyroJerkMag-mean()	-0.99286465
3476	26	SITTING	tBodyGyroJerkMag-mean()	-0.994466446
3477	27	SITTING	tBodyGyroJerkMag-mean()	-0.994034711
3478	28	SITTING	tBodyGyroJerkMag-mean()	-0.981213159
3479	29	SITTING	tBodyGyroJerkMag-mean()	-0.995392308
3480	30	SITTING	tBodyGyroJerkMag-mean()	-0.993737388
3481	1	STANDING	tBodyGyroJerkMag-mean()	-0.994966791
3482	2	STANDING	tBodyGyroJerkMag-mean()	-0.983951904
3483	3	STANDING	tBodyGyroJerkMag-mean()	-0.96233934
3484	4	STANDING	tBodyGyroJerkMag-mean()	-0.967614074
3485	5	STANDING	tBodyGyroJerkMag-mean()	-0.958405901
3486	6	STANDING	tBodyGyroJerkMag-mean()	-0.963406223
3487	7	STANDING	tBodyGyroJerkMag-mean()	-0.977377083
3488	8	STANDING	tBodyGyroJerkMag-mean()	-0.987580588
3489	9	STANDING	tBodyGyroJerkMag-mean()	-0.969824044
3490	10	STANDING	tBodyGyroJerkMag-mean()	-0.971637662
3491	11	STANDING	tBodyGyroJerkMag-mean()	-0.993428184
3492	12	STANDING	tBodyGyroJerkMag-mean()	-0.969289974
3493	13	STANDING	tBodyGyroJerkMag-mean()	-0.983637635
3494	14	STANDING	tBodyGyroJerkMag-mean()	-0.974873328
3495	15	STANDING	tBodyGyroJerkMag-mean()	-0.984407078
3496	16	STANDING	tBodyGyroJerkMag-mean()	-0.992848576
3497	17	STANDING	tBodyGyroJerkMag-mean()	-0.993672974
3498	18	STANDING	tBodyGyroJerkMag-mean()	-0.988685955
3499	19	STANDING	tBodyGyroJerkMag-mean()	-0.985801638
3500	20	STANDING	tBodyGyroJerkMag-mean()	-0.947936501
3501	21	STANDING	tBodyGyroJerkMag-mean()	-0.976857084
3502	22	STANDING	tBodyGyroJerkMag-mean()	-0.978603529
3503	23	STANDING	tBodyGyroJerkMag-mean()	-0.976399253
3504	24	STANDING	tBodyGyroJerkMag-mean()	-0.982387269
3505	25	STANDING	tBodyGyroJerkMag-mean()	-0.985091991
3506	26	STANDING	tBodyGyroJerkMag-mean()	-0.988544825
3507	27	STANDING	tBodyGyroJerkMag-mean()	-0.989532104
3508	28	STANDING	tBodyGyroJerkMag-mean()	-0.959681019
3509	29	STANDING	tBodyGyroJerkMag-mean()	-0.992144699
3510	30	STANDING	tBodyGyroJerkMag-mean()	-0.972995274
3511	1	WALKING	tBodyGyroJerkMag-mean()	-0.298703679
3512	2	WALKING	tBodyGyroJerkMag-mean()	-0.54791195
3513	3	WALKING	tBodyGyroJerkMag-mean()	-0.566135218
3514	4	WALKING	tBodyGyroJerkMag-mean()	-0.681304037
3515	5	WALKING	tBodyGyroJerkMag-mean()	-0.444532485
3516	6	WALKING	tBodyGyroJerkMag-mean()	-0.321290483
3517	7	WALKING	tBodyGyroJerkMag-mean()	-0.30002278
3518	8	WALKING	tBodyGyroJerkMag-mean()	-0.33912927
3519	9	WALKING	tBodyGyroJerkMag-mean()	-0.510253996
3520	10	WALKING	tBodyGyroJerkMag-mean()	-0.440363637
3521	11	WALKING	tBodyGyroJerkMag-mean()	-0.630732706
3522	12	WALKING	tBodyGyroJerkMag-mean()	-0.517493775
3523	13	WALKING	tBodyGyroJerkMag-mean()	-0.30350821
3524	14	WALKING	tBodyGyroJerkMag-mean()	-0.519895047
3525	15	WALKING	tBodyGyroJerkMag-mean()	-0.543979501
3526	16	WALKING	tBodyGyroJerkMag-mean()	-0.671541834
3527	17	WALKING	tBodyGyroJerkMag-mean()	-0.517167441
3528	18	WALKING	tBodyGyroJerkMag-mean()	-0.636485897
3529	19	WALKING	tBodyGyroJerkMag-mean()	-0.164699978
3530	20	WALKING	tBodyGyroJerkMag-mean()	-0.194893253
3531	21	WALKING	tBodyGyroJerkMag-mean()	-0.426930725
3532	22	WALKING	tBodyGyroJerkMag-mean()	-0.461999529
3533	23	WALKING	tBodyGyroJerkMag-mean()	0.011530541
3534	24	WALKING	tBodyGyroJerkMag-mean()	-0.507824746
3535	25	WALKING	tBodyGyroJerkMag-mean()	-0.678466069
3536	26	WALKING	tBodyGyroJerkMag-mean()	-0.512398826
3537	27	WALKING	tBodyGyroJerkMag-mean()	-0.562587199
3538	28	WALKING	tBodyGyroJerkMag-mean()	-0.546248759
3539	29	WALKING	tBodyGyroJerkMag-mean()	-0.506242118
3540	30	WALKING	tBodyGyroJerkMag-mean()	-0.47206873
3541	1	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.295463843
3542	2	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.410872671
3543	3	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.508567577
3544	4	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.592843015
3545	5	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.397195621
3546	6	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.082936685
3547	7	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.399229959
3548	8	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.126189143
3549	9	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.469028434
3550	10	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.401854311
3551	11	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.599294761
3552	12	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.442831079
3553	13	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.323552439
3554	14	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.275120883
3555	15	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.509466648
3556	16	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.590896636
3557	17	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.540325788
3558	18	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.701663074
3559	19	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	0.087581662
3560	20	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.268183424
3561	21	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.452828682
3562	22	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.459579671
3563	23	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.046311777
3564	24	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.497152238
3565	25	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.664713625
3566	26	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.41877981
3567	27	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.440546586
3568	28	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.340417306
3569	29	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.539174456
3570	30	WALKING_DOWNSTAIRS	tBodyGyroJerkMag-mean()	-0.574337006
3571	1	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.594882865
3572	2	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.572816439
3573	3	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.658861401
3574	4	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.686978374
3575	5	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.473488168
3576	6	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.342895368
3577	7	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.661969772
3578	8	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.400664014
3579	9	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.672840562
3580	10	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.523462969
3581	11	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.757314814
3582	12	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.674972132
3583	13	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.631964902
3584	14	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.39992195
3585	15	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.663637118
3586	16	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.737705162
3587	17	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.637367491
3588	18	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.781652689
3589	19	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.372790527
3590	20	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.371928416
3591	21	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.577935643
3592	22	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.568111869
3593	23	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.504367151
3594	24	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.658751629
3595	25	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.777106027
3596	26	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.64809985
3597	27	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.699895091
3598	28	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.620279798
3599	29	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.617340803
3600	30	WALKING_UPSTAIRS	tBodyGyroJerkMag-mean()	-0.718780257
3601	1	LAYING	fBodyAcc-mean()-X	-0.939099052
3602	2	LAYING	fBodyAcc-mean()-X	-0.97672506
3603	3	LAYING	fBodyAcc-mean()-X	-0.980665609
3604	4	LAYING	fBodyAcc-mean()-X	-0.958802078
3605	5	LAYING	fBodyAcc-mean()-X	-0.968741678
3606	6	LAYING	fBodyAcc-mean()-X	-0.939114254
3607	7	LAYING	fBodyAcc-mean()-X	-0.953424246
3608	8	LAYING	fBodyAcc-mean()-X	-0.953538564
3609	9	LAYING	fBodyAcc-mean()-X	-0.946865494
3610	10	LAYING	fBodyAcc-mean()-X	-0.969184209
3611	11	LAYING	fBodyAcc-mean()-X	-0.983801366
3612	12	LAYING	fBodyAcc-mean()-X	-0.956248488
3613	13	LAYING	fBodyAcc-mean()-X	-0.97471692
3614	14	LAYING	fBodyAcc-mean()-X	-0.933936178
3615	15	LAYING	fBodyAcc-mean()-X	-0.974016177
3616	16	LAYING	fBodyAcc-mean()-X	-0.980213187
3617	17	LAYING	fBodyAcc-mean()-X	-0.97435928
3618	18	LAYING	fBodyAcc-mean()-X	-0.985179972
3619	19	LAYING	fBodyAcc-mean()-X	-0.97453373
